Modelo,Accuracy,F1-score,Recall,Precision,Tiempo Entrenamiento (s),Tiempo Predicción (s)
Naïve Bayes,0.3731263597656198,0.2662905075611533,0.3731263597656198,0.3337814563675275,0.028058528900146484,0.0020012855529785156
Random Forest,0.3786388329039922,0.243802715144395,0.3786388329039922,0.5112215663286733,71.37826943397522,0.23641037940979004
XGBoost,0.38101466878445295,0.26684034993049477,0.38101466878445295,0.3922249243228521,49.11333227157593,0.09058189392089844
